file_name,title,created,upvote_num,word_count,body
为什么中国男性的审美会偏向脸部小的女性，可脸小明明不能带来生存优势，有没有科学合理的解释？_美味小土豆_2025-09-10_1949256292519617951.md,为什么中国男性的审美会偏向脸部小的女性，可脸小明明不能带来生存优势，有没有科学合理的解释？,2025-09-10 23:41,6,11,"

  




只要是男人应该能懂吧？

"
为什么中国社会对「文身」这么有偏见？_美味小土豆_2024-08-10_3590453526.md,为什么中国社会对「文身」这么有偏见？,2024-08-10 23:30,1,71,"我对纹身没有偏见，我认为纹身是彰显个性的符号，很酷

但是我和老板说招人绝对不要招有纹身的人，他也深以为然。

我不歧视有纹身的人，有纹身很棒的，酷！

"
为什么中年人体力下降后，打架能力却强于年轻人？_美味小土豆_2025-08-14_1939289444218808227.md,为什么中年人体力下降后，打架能力却强于年轻人？,2025-08-14 11:37,10,94,"别搞了，小时候又不是没打过架，中年人被初中生开瓢进医院的例子又不少。

你说中年人焉坏我承认，论打架真的别往中年老脸上贴金了。大部分中年人是骂人劲头十足，等到动手就开始嚷""我要报警！报警！!""

"
为什么乙女游戏的女主一般都漂亮，而GAL的男主往往很平凡甚至一般？_美味小土豆_2026-03-10_2014601124410320382.md,为什么乙女游戏的女主一般都漂亮，而GAL的男主往往很平凡甚至一般？,2026-03-10 07:18,39,38,"我记得我入宅的时候，""长得像galgame男主角一样""还算是一句夸人的评价。

"
为什么二次元手游里全是旗袍而非汉服？_美味小土豆_2025-08-23_1942443477519538160.md,为什么二次元手游里全是旗袍而非汉服？,2025-08-23 04:30,102,31,"二游的旗袍真的是披两门帘子就出来卖了。

窑姐感巨强，谁能不喜欢。



  




  




  




  




  




  




  




  




"
为什么二次元里的黑皮帅哥和美女那么受欢迎，而真人电影里的黑皮肤却要被说成zzzq？_美味小土豆_2025-10-08_1959302910946056162.md,为什么二次元里的黑皮帅哥和美女那么受欢迎，而真人电影里的黑皮肤却要被说成zzzq？,2025-10-08 17:03,5,28,"重点是要好看啊

只要长得好看，肤色性别种族都可以是加分项。



  




  




"
为什么人们喜欢把军舰娘化，而很少把飞机_坦克娘化？_美味小土豆_2025-12-31_1989653712990410727.md,为什么人们喜欢把军舰娘化，而很少把飞机/坦克娘化？,2025-12-31 11:06,83,60,"军武娘这玩意的早期拟人化对象就是战斗机啊。

当年还吐槽过""军舰这么大的东西要怎么拟人化啊！""

答主……你是不知道强袭魔女吗？



"
为什么人们对“假小子”的包容往往比“娘炮”高的多？_美味小土豆_2025-09-03_1946713860716339354.md,为什么人们对“假小子”的包容往往比“娘炮”高的多？,2025-09-03 23:19,276,38,"交往过就知道了

假小子可是雌性中的雌性

浓度爆表的那种

而娘炮可不是雄性中的雄性。



  




  




  




  




  




  




  




"
为什么人到中年朋友就越来越少甚至没朋友？_美味小土豆_2024-08-26_3606785846.md,为什么人到中年朋友就越来越少甚至没朋友？,2024-08-26 19:21,4,50,"人到中年，同龄的里面还愿意空下来单纯和你聊梦想聊爱好聊曾经的过往而不带任何目的的朋友就是会越来越少的

"
为什么会有人不理解高达，乃至其他巨大人形作战兵器的存在意义？_美味小土豆_2025-04-23_1898280833346937240.md,为什么会有人不理解高达，乃至其他巨大人形作战兵器的存在意义？,2025-04-23 07:43,3,85,"你在设计一台巨大人形兵器的时候如果想的是它应该多么多么合理，那么这台人形兵器绝逼没人买

如果你认为设计一台巨大人形兵器不应该只被当成玩具——那你应该和研究永动机的人坐一桌。

"
