file_name,title,created,upvote_num,word_count,token_count,fp_count,fp_ratio,strong_neg_count,strong_neg_ratio,abs_count,abs_ratio,somatic_count,somatic_ratio,death_count,death_ratio,passive_per_100s,theme,narrative_agency,intellectualization,projection
170+的女生真的不如160的女生受欢迎吗？_美味小土豆_2025-10-17_1962645752246411424.md,170+的女生真的不如160的女生受欢迎吗？,2025-10-17 22:26,13,105,67,2,0.0299,0,0.0,0,0.0,0,0.0,0,0.0,0.0,身高，长腿，颜值，审美，偏好,主动,否,否
2024 巴黎奥运会女子 10 米气步枪决赛，黄雨婷 0.1 环之差惜败摘银，如何评价本场比赛？_美味小土豆_2024-07-30_3577758137.md,2024 巴黎奥运会女子 10 米气步枪决赛，黄雨婷 0.1 环之差惜败摘银，如何评价本场比赛？,2024-07-30 03:54,1,103,69,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,体育竞技，残酷性，黄雨婷，韩国选手，射击,被动,否,否
20多30岁的人跟17岁的女孩子谈恋爱是缺德的吗__美味小土豆_2025-09-10_1949142726655345776.md,20多30岁的人跟17岁的女孩子谈恋爱是缺德的吗?,2025-09-10 16:10,17,199,140,3,0.0214,0,0.0,0,0.0,0,0.0,0,0.0,0.0,年龄双标，背德幻想，油腻现实,被动,否,是
21岁很饥渴，想pc了，可是很纠结，有没有什么建议？_美味小土豆_2025-09-28_1955669667344545161.md,21岁很饥渴，想pc了，可是很纠结，有没有什么建议？,2025-09-28 16:26,12,120,102,2,0.0196,0,0.0,0,0.0,0,0.0,0,0.0,0.0,21 岁，嫖娼，小阿姨，倒贴，肉身布施,主动,否,否
3D打印可以给普通人提供怎样的便利，或者说真的提供便利了吗？_美味小土豆_2024-07-11_3558119381.md,3D打印可以给普通人提供怎样的便利，或者说真的提供便利了吗？,2024-07-11 07:07,3,322,216,2,0.0093,0,0.0,0,0.0,0,0.0,0,0.0,4.35,3D 打印，有毒，难用，劝退,被动,否,否
3D打印怎么了，为什么短短两年就销声匿迹了，说好的产业革命呢？_美味小土豆_2024-07-11_3558096546.md,3D打印怎么了，为什么短短两年就销声匿迹了，说好的产业革命呢？,2024-07-11 05:38,4,120,76,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,3d 打印，原型制作，量产限制,被动,否,否
40多岁“老光棍”突然发了一笔横财，还有机会娶上18岁的“黄花闺女”吗？_美味小土豆_2025-10-03_1957419589131548311.md,40多岁“老光棍”突然发了一笔横财，还有机会娶上18岁的“黄花闺女”吗？,2025-10-03 12:19,6,101,79,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8.33,老光棍，杀猪盘，诈骗，骗局，警惕,被动,否,否
8岁儿子偷拿10块钱，让他罚跪，全家人向我开炮，我做错了吗？_美味小土豆_2024-08-25_3605502488.md,8岁儿子偷拿10块钱，让他罚跪，全家人向我开炮，我做错了吗？,2024-08-25 14:37,7,283,207,16,0.0773,0,0.0,0,0.0,0,0.0,0,0.0,0.0,教育，信任，沟通，证据，服气,被动,否,否
ACGN作品中的女仆为什么常常被设定成有战斗能力__美味小土豆_2026-02-26_2010462669371614321.md,ACGN作品中的女仆为什么常常被设定成有战斗能力?,2026-02-26 21:14,36,429,283,6,0.0212,0,0.0,0,0.0,0,0.0,0,0.0,0.0,战斗女仆，全能设定，二次元，主仆关系，现实映射,混合,否,否
ACG作品中的“夏日祭”“浴衣”“花火”为什么美好？是一种什么样的美学体验？在国内怎么获得相似体验？_美味小土豆_2025-09-10_1949109505423041478.md,ACG作品中的“夏日祭”“浴衣”“花火”为什么美好？是一种什么样的美学体验？在国内怎么获得相似体验？,2025-09-10 13:58,772,143,104,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,海边合宿，夏日祭，二次元，漫展，女友,主动,否,否
